Mineral_Name,IMA_Formula,IMA_Formula_Simple,IMA_Mineral_Symbol,Mineral_Alias_1,Mineral_Alias_2,Mineral_Alias_3,Mineral_Alias_4
Achalaite,Fe2+TiNb2O8,FeTiNb2O8,Ahl,
Arrojadite-(SrFe),SrFe2+(CaNa2)Fe2+13Al(PO4)11(PO3OH)(OH)2,SrFe(CaNa2)Fe13Al(PO4)11(PO3OH)(OH)2,Ajd-SrFe,
Arsenbrackebuschite,"Pb2(Fe3+,Zn)(AsO4)2(OH,H2O)","Pb2(Fe,Zn)(AsO4)2(OH,H2O)",Abbs,
Arseniosiderite,Ca2Fe3+3O2(AsO4)3·3H2O,Ca2Fe3O2(AsO4)3·3H2O,Assd,
Arsenopyrite,FeAsS,FeAsS,Apy,
Arsmirandite,Na18Cu12Fe3+O8(AsO4)8Cl5,Na18Cu12FeO8(AsO4)8Cl5,Asm,
Arthurite,CuFe3+2(AsO4)2(OH)2·4H2O,CuFe2(AsO4)2(OH)2·4H2O,Atu,
Asimowite,Fe2SiO4,Fe2SiO4,Amw,
Askagenite-(Nd),Mn2+Nd(Al2Fe3+)[Si2O7][SiO4]O2,MnNd(Al2Fe)[Si2O7][SiO4]O2,Åsk-Nd,
Aspedamite,"[box]12(Fe3+,Fe2+)3Nb4[Th(Nb,Fe3+)12O42][(H2O),(OH)]12"," 12(Fe,Fe)3Nb4[Th(Nb,Fe)12O42][(H2O),(OH)]12",Apd,
Astrophyllite,K2NaFe2+7Ti2(Si4O12)2O2(OH)4F,K2NaFe7Ti2(Si4O12)2O2(OH)4F,Ast,
Atencioite,Ca2Fe2+3Mg2Be4(PO4)6(OH)4·6H2O,Ca2Fe3Mg2Be4(PO4)6(OH)4·6H2O,Aco,
Atlasovite,Cu2+6Fe3+Bi3+O4(SO4)5·KCl,Cu6FeBiO4(SO4)5·KCl,Atv,
Augite,"(Ca,Mg,Fe)2Si2O6","(Ca,Mg,Fe)2Si2O6",Aug,
Auriacusite,Fe3+Cu2+(AsO4)O,FeCu(AsO4)O,Aur,
Awaruite,Ni3Fe,Ni3Fe,Awr,
Axinite-(Fe),Ca4Fe2+2Al4[B2Si8O30](OH)2,Ca4Fe2Al4[B2Si8O30](OH)2,Ax-Fe,
Azoproite,"Mg2[(Ti,Mg),Fe3+]O2(BO3)","Mg2[(Ti,Mg),Fe]O2(BO3)",Azo,
Babingtonite,Ca2Fe2+Fe3+Si5O14(OH),Ca2FeFeSi5O14(OH),Bab,Ca2Fe2Si5O14(OH)
Badalovite,NaNaMg(MgFe3+)(AsO4)3,NaNaMg(MgFe)(AsO4)3,Bdl,
Bafertisite,Ba2Fe2+4Ti2(Si2O7)2O2(OH)2F2,Ba2Fe4Ti2(Si2O7)2O2(OH)2F2,Bft,
Baileychlore,"(Zn,Fe2+,Al,Mg)6(Si,Al)4O10(OH)8","(Zn,Fe,Al,Mg)6(Si,Al)4O10(OH)8",Blc,
Bamfordite,Fe3+Mo2O6(OH)3·H2O,FeMo2O6(OH)3·H2O,Bfd,
Bannisterite,"(Ca,K,Na)(Mn2+,Fe2+)10(Si,Al)16O38(OH)8·nH2O","(Ca,K,Na)(Mn,Fe)10(Si,Al)16O38(OH)8·nH2O",Ban,
Barahonaite-(Al),"(Ca,Cu,Na,Fe3+,Al)12Al2(AsO4)8(OH,Cl)x·nH2O","(Ca,Cu,Na,Fe,Al)12Al2(AsO4)8(OH,Cl)x·nH2O",Bho-Al,
Barahonaite-(Fe),"(Ca,Cu,Na,Fe3+,Al)12Fe3+2(AsO4)8(OH,Cl)x·nH2O","(Ca,Cu,Na,Fe,Al)12Fe2(AsO4)8(OH,Cl)x·nH2O",Bho-Fe,
Barbosalite,Fe2+Fe3+2(PO4)2(OH)2,FeFe2(PO4)2(OH)2,Bsa,Fe3(PO4)2(OH)2
Baricite,"(Mg,Fe)3(PO4)2·8H2O","(Mg,Fe)3(PO4)2·8H2O",Bć,
Barioferrite,BaFe3+12O19,BaFe12O19,Baf,
Bario-orthojoaquinite,Ba4Fe2+2Ti2O2(SiO3)8·H2O,Ba4Fe2Ti2O2(SiO3)8·H2O,Bojq,
Bariopharmacosiderite,Ba0.5Fe3+4(AsO4)3(OH)4·5H2O,Ba0.5Fe4(AsO4)3(OH)4·5H2O,Bpsd,
Barquillite,"Cu2(Cd,Fe)GeS4","Cu2(Cd,Fe)GeS4",Bql,
Barringerite,"(Fe,Ni)2P","(Fe,Ni)2P",Bgr,
Bartelkeite,PbFe2+Ge(Ge2O7)(OH)2·H2O,PbFeGe(Ge2O7)(OH)2·H2O,Btk,
Bartonite,K6Fe20S26S,K6Fe20S26S,Btn,
Bassetite,Fe2+(UO2)2(PO4)2(H2O)10,Fe(UO2)2(PO4)2(H2O)10,Bas,
Batiferrite,BaTi2Fe3+8Fe2+2O19,BaTi2Fe8Fe2O19,Bfe,
Bazzite,"Be3(Sc,Fe3+,Mg)2Si6O18·Na0.32·nH2O","Be3(Sc,Fe,Mg)2Si6O18·Na0.32·nH2O",Bz,
